#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,236,974","+109,954","285,091","+1,739","14,513,761","+86,055","1,438,122","26,649",,,,,,Asia,,,
,North America,"15,452,479","+130,592","401,579","+2,329","9,506,777","+55,001","5,544,123","28,954",,,,,,North America,,,
,South America,"10,926,497","+61,936","321,724","+1,292","9,805,546","+36,634","799,227","16,993",,,,,,South America,,,
,Europe,"16,504,270","+230,772","376,541","+5,264","6,726,325","+177,445","9,401,404","29,697",,,,,,Europe,,,
,Africa,"2,134,290","+13,934","51,033",+297,"1,800,758","+9,403","282,499","2,584",,,,,,Africa,,,
,Oceania,"44,531",+112,"1,013",+2,"33,022",+22,"10,496",22,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"61,299,762","+547,300","1,436,996","+10,923","42,386,848","+364,560","17,475,918","104,903","7,864",184.4,,,,All,,,
1,China,"86,490",+21,"4,634",,"81,550",+20,306,7,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,642","310,601",9
2,USA,"13,248,924","+108,291","269,560","+1,311","7,846,890","+40,618","5,132,474","24,396","39,932",812,"187,143,721","564,041","331,790,984",North America,25,"1,231",2
3,India,"9,309,871","+43,174","135,752",+491,"8,717,709","+39,723","456,410","8,944","6,720",98,"135,931,545","98,111","1,385,493,511",Asia,149,"10,206",10
4,Brazil,"6,204,570","+37,672","171,497",+698,"5,528,599","+15,752","504,474","8,318","29,106",804,"21,900,000","102,734","213,172,356",South America,34,"1,243",10
5,Russia,"2,187,990","+25,487","38,062",+524,"1,685,492","+25,073","464,436","2,300","14,990",261,"74,270,930","508,844","145,960,007",Europe,67,"3,835",2
6,France,"2,183,660","+13,563","50,957",+339,"158,236","+1,684","1,974,467","4,018","33,424",780,"20,224,617","309,565","65,332,377",Europe,30,"1,282",3
7,Spain,"1,637,844","+7,991","44,374",+337,,,,"2,815","35,025",949,"21,917,246","468,696","46,762,171",Europe,29,"1,054",2
8,UK,"1,574,562","+17,555","57,031",+498,,,,"1,480","23,145",838,"42,217,206","620,559","68,030,932",Europe,43,"1,193",2
9,Italy,"1,509,875","+29,003","52,850",+822,"661,180","+24,031","795,845","3,846","24,987",875,"21,188,898","350,662","60,425,469",Europe,40,"1,143",3
10,Argentina,"1,399,431","+9,043","37,941",+227,"1,226,662","+9,378","134,828","3,960","30,849",836,"3,775,098","83,219","45,363,671",South America,32,"1,196",12
11,Colombia,"1,280,487","+9,496","36,019",+159,"1,181,753","+6,794","62,715","2,376","25,057",705,"6,245,488","122,216","51,102,128",South America,40,"1,419",8
12,Mexico,"1,070,487","+10,335","103,597",+858,"798,037","+6,521","168,853","3,335","8,268",800,"2,771,888","21,408","129,480,429",North America,121,"1,250",47
13,Germany,"1,005,307","+21,576","15,767",+386,"676,100","+19,600","313,440","3,826","11,983",188,"27,859,242","332,081","83,893,027",Europe,83,"5,321",3
14,Peru,"956,347","+1,888","35,785",+58,"887,019","+2,272","33,543",966,"28,843","1,079","4,999,956","150,797","33,156,907",South America,35,927,7
15,Poland,"941,356","+16,931","15,568",+580,"494,869","+25,342","430,919","2,109","24,884",412,"6,098,759","161,216","37,829,666",Europe,40,"2,430",6
16,Iran,"908,346","+13,961","46,689",+482,"633,275","+7,669","228,382","5,849","10,759",553,"5,955,724","70,543","84,426,596",Asia,93,"1,808",14
17,South Africa,"778,571","+3,069","21,289",+88,"716,444",,"40,838",546,"13,061",357,"5,383,078","90,304","59,610,373",Africa,77,"2,800",11
18,Ukraine,"677,189","+15,331","11,717",+225,"317,395","+9,617","348,077",177,"15,523",269,"4,279,025","98,085","43,625,879",Europe,64,"3,723",10
19,Belgium,"564,967","+3,164","16,077",+139,"36,569",,"512,321","1,071","48,662","1,385","5,720,922","492,752","11,610,138",Europe,21,722,2
