#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"18,982,116","+110,022","310,839","+1,484","17,149,681","+122,701","1,521,596","28,106",,,,,,Asia,,,
,North America,"19,100,525","+244,581","449,209","+3,170","11,574,490","+155,077","7,076,826","32,576",,,,,,North America,,,
,South America,"11,925,631","+64,387","339,338","+1,115","10,564,356","+29,906","1,021,937","16,649",,,,,,South America,,,
,Europe,"19,659,960","+200,970","454,395","+4,334","9,160,362","+144,891","10,045,203","26,903",,,,,,Europe,,,
,Africa,"2,376,741","+18,068","56,082",+326,"2,014,826","+10,956","305,833","2,587",,,,,,Africa,,,
,Oceania,"46,562",+13,"1,034",,"33,204",+6,"12,324",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"72,092,256","+638,041","1,610,912","+10,429","50,497,625","+463,537","19,983,719","106,846","9,249",206.7,,,,All,,,
1,China,"86,701",+13,"4,634",,"81,774",+12,293,5,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,601","310,601",9
2,USA,"16,549,366","+220,298","305,080","+2,307","9,644,325","+136,849","6,599,961","27,523","49,865",919,"219,505,072","661,397","331,880,970",North America,20,"1,088",2
3,India,"9,857,380","+30,354","143,055",+393,"9,356,879","+33,087","357,446","8,944","7,111",103,"152,697,399","110,161","1,386,123,196",Asia,141,"9,689",9
4,Brazil,"6,880,595","+44,282","181,143",+690,"5,969,706","+14,961","729,746","8,318","32,267",849,"25,700,000","120,520","213,242,430",South America,31,"1,177",8
5,Russia,"2,625,848","+28,137","46,453",+560,"2,085,958","+26,118","493,437","2,300","17,990",318,"82,100,000","562,472","145,962,904",Europe,56,"3,142",2
6,France,"2,365,319","+13,947","57,761",+194,"175,891",,"2,131,667","2,884","36,201",884,"28,717,663","439,518","65,339,066",Europe,28,"1,131",2
7,UK,"1,830,956","+21,502","64,026",+519,,,,"1,275","26,907",941,"47,141,344","692,772","68,047,462",Europe,37,"1,063",1
8,Italy,"1,825,774","+19,902","64,036",+649,"1,076,891","+24,728","684,847","3,199","30,217","1,060","24,063,029","398,254","60,421,355",Europe,33,944,3
9,Turkey,"1,809,809","+29,136","16,199",+222,"1,581,565","+38,518","212,045","5,961","21,355",191,"20,898,517","246,596","84,748,019",Asia,47,"5,232",4
10,Spain,"1,741,439",,"47,624",,,,,"2,100","37,240","1,018","24,101,272","515,392","46,763,009",Europe,27,982,2
11,Argentina,"1,494,602","+5,274","40,668",+62,"1,330,160","+5,368","123,774","3,594","32,933",896,"4,237,401","93,370","45,382,916",South America,30,"1,116",11
12,Colombia,"1,417,072","+8,163","38,866",+197,"1,310,425","+6,126","67,781","2,376","27,717",760,"7,029,070","137,482","51,127,304",South America,36,"1,315",7
13,Germany,"1,320,592","+21,816","22,171",+351,"957,500","+15,400","340,921","4,491","15,739",264,"30,494,036","363,433","83,905,438",Europe,64,"3,784",3
14,Mexico,"1,229,379","+12,253","113,019",+693,"904,042","+7,912","212,318","3,550","9,490",872,"3,150,804","24,322","129,543,309",North America,105,"1,146",41
15,Poland,"1,126,699","+11,496","22,676",+502,"840,541","+25,185","263,482","1,765","29,785",599,"6,653,788","175,897","37,827,748",Europe,34,"1,668",6
16,Iran,"1,100,818","+8,201","51,949",+221,"800,853","+13,000","248,016","5,739","13,031",615,"6,657,974","78,814","84,476,530",Asia,77,"1,626",13
17,Peru,"983,045","+2,102","36,609",+65,"916,335",+86,"30,101","1,039","29,629","1,103","5,248,832","158,201","33,178,246",South America,34,906,6
18,Ukraine,"885,039","+12,811","14,998",+243,"494,001","+13,653","376,040",177,"20,293",344,"4,957,299","113,664","43,613,740",Europe,49,"2,908",9
19,South Africa,"852,965","+7,882","23,106",+154,"760,118","+1,745","69,741",546,"14,301",387,"5,819,755","97,573","59,645,103",Africa,70,"2,581",10
20,Indonesia,"611,631","+6,388","18,653",+142,"501,376","+4,490","91,602",,"2,226",68,"6,331,331","23,037","274,827,175",Asia,449,"14,734",43
21,Netherlands,"603,603","+9,080","10,019",+53,,,,496,"35,191",584,"5,077,285","296,016","17,152,080",Europe,28,"1,712",3
22,Belgium,"603,159","+2,762","17,792",+100,"41,334",+545,"544,033",646,"51,941","1,532","6,269,883","539,926","11,612,476",Europe,19,653,2
23,Czechia,"575,424","+6,203","9,490",+88,"504,540",+350,"61,394",563,"53,688",885,"3,323,551","310,091","10,718,001",Europe,19,"1,129",3
24,Iraq,"573,622","+1,022","12,565",+16,"505,669","+1,772","55,388",193,"14,120",309,"3,867,170","95,192","40,624,922",Asia,71,"3,233",11
25,Chile,"569,781","+1,807","15,846",+64,"543,083","+1,738","10,852",651,"29,691",826,"5,727,305","298,448","19,190,284",South America,34,"1,211",3
26,Romania,"551,900","+6,333","13,264",+148,"451,477","+8,309","87,159","1,288","28,776",692,"4,413,212","230,106","19,179,039",Europe,35,"1,446",4
27,Bangladesh,"489,178","+1,329","7,020",+34,"417,503","+3,185","64,655",,"2,957",42,"2,956,882","17,874","165,429,258",Asia,338,"23,565",56
28,Canada,"454,852","+6,011","13,350",+99,"368,474","+6,181","73,028",596,"12,004",352,"12,485,963","329,519","37,891,529",North America,83,"2,838",3
29,Philippines,"448,315","+1,285","8,730",+35,"409,391",+69,"30,194","1,401","4,067",79,"6,195,558","56,202","110,236,832",Asia,246,"12,627",18
30,Pakistan,"435,056","+2,729","8,724",+71,"381,208","+2,116","45,124","2,470","1,953",39,"5,990,168","26,885","222,810,091",Asia,512,"25,540",37
31,Morocco,"397,597","+3,033","6,589",+47,"353,098","+3,277","37,910","1,013","10,715",178,"4,179,619","112,635","37,107,516",Africa,93,"5,632",9
32,Switzerland,"373,831",,"5,976",+48,"291,500",,"76,355",454,"43,052",688,"3,019,837","347,778","8,683,227",Europe,23,"1,453",3
33,Saudi Arabia,"359,749",+166,"6,036",+13,"350,347",+239,"3,366",517,"10,262",172,"10,349,590","295,221","35,057,143",Asia,97,"5,808",3
34,Israel,"355,786","+2,517","2,983",+14,"335,243","+1,343","17,560",338,"38,683",324,"5,605,071","609,406","9,197,590",Asia,26,"3,083",2
35,Portugal,"344,700","+4,413","5,461",+88,"268,453","+4,805","70,786",503,"33,850",536,"4,939,014","485,018","10,183,160",Europe,30,"1,865",2
36,Sweden,"320,098",,"7,514",,,,,258,"31,606",742,"3,718,476","367,157","10,127,752",Europe,32,"1,348",3
37,Austria,"319,822","+3,241","4,415",+126,"277,883","+4,380","37,524",591,"35,419",489,"3,386,308","375,021","9,029,655",Europe,28,"2,045",3
38,Hungary,"276,247","+5,047","6,784",+162,"79,769","+1,069","189,694",610,"28,629",703,"2,275,935","235,868","9,649,176",Europe,35,"1,422",4
39,Serbia,"261,437","+5,679","2,275",+48,"31,536",,"227,626",318,"29,977",261,"2,016,984","231,271","8,721,319",Europe,33,"3,834",4
40,Jordan,"257,275","+1,816","3,335",+49,"213,344","+3,598","40,596",340,"25,103",325,"2,810,294","274,207","10,248,811",Asia,40,"3,073",4
41,Nepal,"247,593",+899,"1,689",+15,"234,231","+1,359","11,673",,"8,430",58,"1,825,860","62,164","29,371,432",Asia,119,"17,390",16
42,Ecuador,"201,524",+759,"13,874",+16,"174,188",,"13,462",359,"11,345",781,"688,032","38,733","17,763,305",South America,88,"1,280",26
43,Panama,"190,585","+2,806","3,331",+22,"160,641","+1,571","26,613",183,"43,861",767,"1,051,067","241,889","4,345,239",North America,23,"1,304",4
44,Georgia,"187,006","+3,907","1,744",+50,"154,241","+3,780","31,021",,"46,919",438,"1,667,615","418,402","3,985,680",Asia,21,"2,285",2
45,UAE,"183,755","+1,154",609,+2,"163,048",+613,"20,098",,"18,479",61,"18,275,468","1,837,804","9,944,188",Asia,54,"16,329",1
46,Bulgaria,"178,952","+1,287","5,626",+64,"81,757","+2,235","91,569",595,"25,843",812,"1,062,824","153,487","6,924,524",Europe,39,"1,231",7
47,Japan,"174,299","+2,757","2,534",+32,"147,524","+2,510","24,241",578,"1,380",20,"4,001,554","31,683","126,299,995",Asia,725,"49,842",32
48,Croatia,"172,523","+4,135","2,562",+78,"144,691","+3,793","25,270",295,"42,144",626,"872,515","213,136","4,093,701",Europe,24,"1,598",5
49,Azerbaijan,"171,423","+4,268","1,883",+43,"107,635","+4,085","61,905",,"16,838",185,"1,938,244","190,389","10,180,421",Asia,59,"5,406",5
50,Belarus,"158,334","+1,975","1,254",+8,"135,922","+1,992","21,158",,"16,759",133,"3,578,661","378,778","9,447,909",Europe,60,"7,534",3
51,Dominican Republic,"153,585","+1,133","2,360",+1,"119,616",+739,"31,609",230,"14,094",217,"784,626","72,004","10,896,961",North America,71,"4,617",14
52,Costa Rica,"150,947",,"1,895",,"112,622",,"36,430",232,"29,510",370,"427,104","83,499","5,115,109",North America,34,"2,699",12
53,Armenia,"147,312",+995,"2,462",+17,"124,521","+1,047","20,329",,"49,671",830,"545,240","183,845","2,965,757",Asia,20,"1,205",5
54,Bolivia,"146,697",+312,"9,013",+5,"125,886",+170,"11,798",71,"12,491",767,"375,921","32,008","11,744,591",South America,80,"1,303",31
55,Kuwait,"146,044",+255,911,+1,"141,825",+256,"3,308",68,"33,972",212,"1,176,983","273,785","4,298,930",Asia,29,"4,719",4
56,Lebanon,"145,245","+1,540","1,190",+8,"98,584",+937,"45,471",380,"21,324",175,"1,771,633","260,094","6,811,499",Asia,47,"5,724",4
57,Qatar,"140,827",+147,240,,"138,347",+153,"2,240",24,"50,156",85,"1,163,120","414,245","2,807,805",Asia,20,"11,699",2
58,Kazakhstan,"140,784",+789,"2,088",,"124,729",+673,"13,967",221,"7,458",111,"4,871,752","258,068","18,877,808",Asia,134,"9,041",4
59,Slovakia,"130,794","+3,707","1,148",+26,"95,416","+1,883","34,230",282,"23,951",210,"1,206,072","220,858","5,460,844",Europe,42,"4,757",5
60,Guatemala,"129,099",+558,"4,405",+29,"117,615",+602,"7,079",5,"7,147",244,"580,139","32,116","18,063,872",North America,140,"4,101",31
61,Moldova,"125,723","+1,459","2,547",+26,"107,733","+1,262","15,443",288,"31,199",632,"503,321","124,903","4,029,692",Europe,32,"1,582",8
62,Oman,"125,669",,"1,463",,"117,327",,"6,879",65,"24,334",283,"571,472","110,657","5,164,368",Asia,41,"3,530",9
63,Greece,"123,842","+1,194","3,540",+68,"9,989",,"110,313",577,"11,908",340,"2,572,828","247,392","10,399,817",Europe,84,"2,938",4
64,Egypt,"121,089",+478,"6,898",+21,"104,710",+211,"9,481",67,"1,173",67,"1,000,000","9,690","103,197,841",Africa,852,"14,961",103
65,Ethiopia,"116,297",+515,"1,803",+12,"92,449","+1,240","22,045",318,"1,001",16,"1,701,522","14,639","116,230,450",Africa,999,"64,465",68
66,Honduras,"113,708",+501,"2,971",+3,"51,244",+296,"59,493",112,"11,399",298,"282,300","28,300","9,975,269",North America,88,"3,358",35
67,Tunisia,"110,393","+1,289","3,836",+35,"84,218","+1,056","22,339",276,"9,297",323,"508,861","42,854","11,874,360",Africa,108,"3,096",23
68,Palestine,"108,099","+1,477",961,+30,"83,123","+1,957","24,015",83,"20,973",186,"767,501","148,906","5,154,248",Asia,48,"5,363",7
69,Myanmar,"107,215","+1,352","2,245",+25,"85,406","+1,068","19,564",,"1,965",41,"1,419,187","26,004","54,574,739",Asia,509,"24,309",38
70,Venezuela,"107,177",+462,949,+5,"102,289",+466,"3,939",46,"3,774",33,"2,347,543","82,662","28,399,225",South America,265,"29,925",12
71,Denmark,"107,116","+3,552",935,+8,"78,236","+1,309","27,945",54,"18,464",161,"8,483,883","1,462,373","5,801,450",Europe,54,"6,205",1
72,Bosnia and Herzegovina,"100,306",+763,"3,298",+48,"65,289","+1,556","31,719",,"30,661","1,008","463,118","141,562","3,271,495",Europe,33,992,7
73,Slovenia,"95,484","+1,747","2,041",+43,"72,290","+1,557","21,153",192,"45,926",982,"589,788","283,679","2,079,068",Europe,22,"1,019",4
74,Paraguay,"92,913",+800,"1,937",+10,"65,852",+676,"25,124",147,"12,955",270,"496,890","69,282","7,171,966",South America,77,"3,703",14
75,Algeria,"91,638",+517,"2,584",+9,"60,028",+438,"29,026",46,"2,073",58,,,"44,205,533",Africa,482,"17,107",
76,Kenya,"91,526",+548,"1,586",+4,"72,596","+1,017","17,344",44,"1,686",29,"967,317","17,814","54,299,590",Africa,593,"34,237",56
77,Lithuania,"90,252","+3,303",791,+27,"38,768","+2,600","50,693",178,"33,367",292,"1,403,151","518,757","2,704,835",Europe,30,"3,420",2
78,Libya,"89,880",,"1,278",,"59,839",,"28,763",,"13,001",185,"478,198","69,171","6,913,291",Africa,77,"5,409",14
79,Bahrain,"88,965",+145,348,+1,"87,025",+158,"1,592",6,"51,495",201,"2,180,017","1,261,851","1,727,634",Asia,19,"4,964",1
80,Malaysia,"82,246","+1,937",411,+9,"68,084",+911,"13,751",121,"2,527",13,"2,918,977","89,670","32,552,528",Asia,396,"79,203",11
81,Kyrgyzstan,"77,059",+341,"1,307",,"69,794",+453,"5,958",90,"11,725",199,"544,247","82,807","6,572,452",Asia,85,"5,029",12
82,Ireland,"75,756",+248,"2,123",+3,"23,364",,"50,269",32,"15,265",428,"2,101,317","423,428","4,962,632",Europe,66,"2,338",2
83,Uzbekistan,"74,811",+147,612,+1,"72,084",+163,"2,115",179,"2,221",18,"1,377,915","40,903","33,687,059",Asia,450,"55,044",24
84,North Macedonia,"73,025",+981,"2,096",+19,"48,726",+556,"22,203",138,"35,052","1,006","363,021","174,250","2,083,335",Europe,29,994,6
85,Nigeria,"72,757",+617,"1,194",+4,"65,850",+128,"5,713",10,349,6,"833,755","4,001","208,412,524",Africa,"2,865","174,550",250
86,Singapore,"58,313",+8,29,,"58,197",+5,87,,"9,932",5,"4,834,370","823,414","5,871,127",Asia,101,"202,453",1
87,Ghana,"52,933",+195,327,+1,"51,676",+158,930,15,"1,688",10,"620,148","19,774","31,362,555",Africa,592,"95,910",51
88,Afghanistan,"48,952",+126,"1,960",+11,"38,328",+62,"8,664",93,"1,245",50,"167,758","4,267","39,319,204",Asia,803,"20,061",234
89,Albania,"47,742",+879,989,+12,"24,520",+384,"22,233",39,"16,598",344,"214,776","74,669","2,876,367",Europe,60,"2,908",13
90,S. Korea,"41,736",+950,578,+6,"31,493",+336,"9,665",179,814,11,"3,349,864","65,313","51,289,233",Asia,"1,229","88,736",15
91,El Salvador,"41,394",+448,"1,193",+7,"37,667",+495,"2,534",78,"6,367",184,"579,690","89,169","6,501,025",North America,157,"5,449",11
92,Luxembourg,"41,272",+517,396,+4,"31,678",,"9,198",47,"65,454",628,"1,507,746","2,391,179","630,545",Europe,15,"1,592",0
93,Montenegro,"40,948",+402,578,+9,"29,614",+152,"10,756",68,"65,193",920,"152,817","243,300","628,102",Europe,15,"1,087",4
94,Norway,"40,803",+364,387,,"34,463",,"5,953",31,"7,500",71,"2,421,445","445,086","5,440,392",Europe,133,"14,058",2
95,Sri Lanka,"32,135",+760,149,+2,"23,304",+473,"8,682",,"1,498",7,"988,964","46,097","21,453,933",Asia,668,"143,986",22
96,Finland,"30,450",+377,453,,"20,000",,"9,997",26,"5,492",82,"2,163,079","390,122","5,544,629",Europe,182,"12,240",3
97,Australia,"28,025",+13,908,,"25,671",+6,"1,446",,"1,093",35,"10,356,077","404,012","25,633,109",Australia/Oceania,915,"28,230",2
98,Uganda,"27,071",+702,220,,"9,744",+98,"17,107",,584,5,"676,531","14,587","46,379,453",Africa,"1,713","210,816",69
99,Cameroon,"25,143",+56,443,,"23,851",,849,50,937,17,"149,000","5,551","26,839,799",Africa,"1,067","60,586",180
100,Latvia,"25,046",+660,324,+5,"16,237",+748,"8,485",40,"13,346",173,"723,345","385,448","1,876,636",Europe,75,"5,792",3
101,Ivory Coast,"21,639",+21,133,,"21,261",+27,245,,811,5,"232,220","8,708","26,668,871",Africa,"1,232","200,518",115
102,Sudan,"21,147",+303,"1,344",+4,"12,227",+372,"7,576",,477,30,,,"44,305,343",Africa,"2,095","32,965",
103,Zambia,"18,217",+56,366,+1,"17,339",+10,512,,979,20,"477,174","25,638","18,612,297",Africa,"1,022","50,853",39
104,Estonia,"17,711",+758,148,+6,"10,626",+93,"6,937",24,"13,347",112,"541,151","407,819","1,326,940",Europe,75,"8,966",2
105,Madagascar,"17,587",+114,259,+4,"16,992",+65,336,16,628,9,"96,565","3,448","28,007,434",Africa,"1,593","108,137",290
106,Senegal,"16,997",+40,349,+4,"16,059",+44,589,13,"1,003",21,"243,798","14,392","16,939,929",Africa,997,"48,538",69
107,Mozambique,"16,812",+132,140,+1,"14,795",+2,"1,877",,531,4,"247,448","7,820","31,643,794",Africa,"1,882","226,027",128
108,Namibia,"16,269",+172,160,,"14,582",+250,"1,527",15,"6,351",62,"174,200","68,007","2,561,504",Africa,157,"16,009",15
109,Angola,"16,161",+100,366,+1,"8,841",+43,"6,954",14,485,11,"171,247","5,140","33,318,335",Africa,"2,062","91,034",195
110,French Polynesia,"15,618",,91,,"4,842",,"10,685",25,"55,453",323,"26,355","93,576","281,643",Australia/Oceania,18,"3,095",11
111,Cyprus,"14,476",+827,75,+5,"2,057",,"12,344",20,"11,950",62,"659,089","544,103","1,211,331",Asia,84,"16,151",2
112,DRC,"14,342",+172,352,+2,"12,465",+257,"1,525",,158,4,,,"90,766,200",Africa,"6,329","257,859",
113,Guinea,"13,420",+22,79,,"12,657",+31,684,24,"1,010",6,"84,951","6,392","13,290,915",Africa,990,"168,239",156
114,Maldives,"13,348",+22,48,,"12,659",+19,641,12,"24,500",88,"267,308","490,646","544,808",Asia,41,"11,350",2
115,Tajikistan,"12,624",+36,88,,"12,050",+41,486,,"1,310",9,,,"9,633,156",Asia,763,"109,468",
116,Botswana,"12,501",,37,,"9,940",,"2,524",1,"5,268",16,"470,387","198,238","2,372,842",Africa,190,"64,131",5
117,French Guiana,"11,800",+45,71,,"9,995",,"1,734",,"39,057",235,"89,832","297,337","302,122",South America,26,"4,255",3
118,Jamaica,"11,608",+99,271,+1,"7,799",+132,"3,538",7,"3,912",91,"124,240","41,874","2,967,023",North America,256,"10,948",24
119,Cabo Verde,"11,302",+40,110,,"10,922",+28,270,23,"20,229",197,"107,404","192,236","558,708",Africa,49,"5,079",5
120,Zimbabwe,"11,219",+57,307,+1,"9,359",+35,"1,553",,750,21,"189,370","12,658","14,960,094",Africa,"1,333","48,730",79
121,Malta,"11,101",+121,166,,"9,079",+144,"1,856",18,"25,111",376,"461,770","1,044,547","442,077",Europe,40,"2,663",1
122,Mauritania,"10,780",+279,222,+12,"8,022",+65,"2,536",37,"2,292",47,"110,096","23,405","4,703,951",Africa,436,"21,189",43
123,Haiti,"9,491",+26,233,,"8,241",+27,"1,017",,828,20,"34,734","3,030","11,465,087",North America,"1,208","49,206",330
124,Cuba,"9,354",+87,137,+1,"8,371",+81,846,8,826,12,"1,229,513","108,581","11,323,471",North America,"1,211","82,653",9
125,Gabon,"9,330",,63,,"9,182",,85,5,"4,148",28,"329,481","146,493","2,249,124",Africa,241,"35,700",7
126,Uruguay,"9,180",+331,91,+1,"6,155",+214,"2,934",40,"2,639",26,"503,373","144,681","3,479,188",South America,379,"38,233",7
