#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,133,901","+133,239","296,890","+1,740","15,175,024","+96,946","1,661,987","27,937",,,,,,Asia,,,
,North America,"16,881,800","+245,218","419,862","+3,892","10,320,486","+116,791","6,141,452","30,899",,,,,,North America,,,
,South America,"11,361,365","+74,021","329,247","+1,298","10,141,436","+46,258","890,682","16,967",,,,,,South America,,,
,Europe,"17,871,684","+218,554","411,408","+5,580","7,802,380","+161,321","9,657,896","28,179",,,,,,Europe,,,
,Africa,"2,231,794","+17,094","52,993",+323,"1,903,566","+27,101","275,235","2,572",,,,,,Africa,,,
,Oceania,"45,677",+207,"1,020",+1,"33,107",+17,"11,550",26,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"65,526,942","+688,333","1,511,435","+12,834","45,376,705","+448,434","18,638,802","106,580","8,406",193.9,,,,All,,,
1,China,"86,567",+16,"4,634",,"81,667",+18,266,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,627","310,601",9
2,USA,"14,537,263","+220,643","282,832","+2,921","8,561,484","+98,121","5,692,947","26,196","43,809",852,"201,774,807","608,061","331,833,330",North America,23,"1,173",2
3,India,"9,571,780","+38,309","139,227",+570,"9,015,684","+45,580","416,869","8,944","6,907",100,"143,557,647","103,593","1,385,789,833",Asia,145,"9,953",10
4,Brazil,"6,487,516","+50,866","175,307",+776,"5,725,010","+26,657","587,199","8,318","30,428",822,"25,700,000","120,541","213,205,332",South America,33,"1,216",8
5,Russia,"2,375,546","+28,145","41,607",+554,"1,859,851","+29,502","474,088","2,300","16,275",285,"77,693,654","532,289","145,961,371",Europe,61,"3,508",2
6,France,"2,257,331","+12,696","54,370",+439,"166,940","+1,377","2,036,021","3,425","34,550",832,"20,787,734","318,169","65,335,525",Europe,29,"1,202",3
7,Spain,"1,693,591","+6,104","46,038",+254,,,,"2,440","36,217",985,"22,992,742","491,691","46,762,566",Europe,28,"1,016",2
8,UK,"1,674,134","+14,879","60,113",+414,,,,"1,315","24,606",884,"44,416,420","652,811","68,038,710",Europe,41,"1,132",2
9,Italy,"1,664,840","+23,236","58,038",+993,"846,809","+23,474","759,993","3,597","27,553",961,"22,561,071","373,382","60,423,533",Europe,36,"1,041",3
10,Argentina,"1,447,732","+7,629","39,305",+149,"1,274,675","+6,317","133,752","3,916","31,908",866,"4,022,872","88,663","45,372,728",South America,31,"1,154",11
11,Colombia,"1,343,322","+9,233","37,305",+188,"1,233,115","+7,480","72,902","2,376","26,281",730,"6,592,775","128,982","51,113,975",South America,38,"1,370",8
12,Mexico,"1,133,613","+11,251","107,565",+800,"836,567","+6,750","189,481","3,335","8,753",831,"2,919,879","22,546","129,510,020",North America,114,"1,204",44
13,Germany,"1,128,742","+22,910","18,260",+448,"800,000","+20,400","310,482","3,957","13,454",218,"29,141,172","347,337","83,898,867",Europe,74,"4,595",3
14,Poland,"1,028,607","+14,835","18,828",+620,"646,560","+23,580","363,219","1,986","27,191",498,"6,355,941","168,019","37,828,763",Europe,37,"2,009",6
15,Iran,"1,003,494","+13,922","49,348",+358,"699,315","+11,261","254,831","5,824","11,883",584,"6,256,715","74,088","84,450,095",Asia,84,"1,711",13
16,Peru,"968,846","+1,771","36,104",+28,"901,544","+2,331","31,198",957,"29,211","1,089","5,119,245","154,348","33,166,949",South America,34,919,6
17,South Africa,"800,872","+4,400","21,803",+94,"739,367","+5,062","39,702",546,"13,431",366,"5,500,669","92,252","59,626,717",Africa,74,"2,735",11
18,Ukraine,"772,760","+14,496","12,960",+243,"384,426","+15,372","375,374",177,"17,716",297,"4,528,772","103,823","43,620,167",Europe,56,"3,366",10
19,Turkey,"733,261","+32,381","14,316",+187,"418,331","+4,190","300,614","5,611","8,655",169,"19,143,746","225,950","84,725,715",Asia,116,"5,918",4
20,Belgium,"582,252","+3,040","16,911",+125,"38,261",+337,"527,080",829,"50,146","1,456","5,976,114","514,684","11,611,238",Europe,20,687,2
21,Iraq,"558,767","+2,039","12,361",+21,"487,863","+1,550","58,543",270,"13,762",304,"3,576,592","88,088","40,602,673",Asia,73,"3,285",11
22,Indonesia,"557,877","+8,369","17,355",+156,"462,553","+3,673","77,969",,"2,030",63,"5,867,621","21,356","274,756,096",Asia,493,"15,832",47
23,Chile,"555,406","+1,508","15,519",+81,"530,470",+969,"9,417",687,"28,948",809,"5,414,795","282,223","19,186,253",South America,35,"1,236",4
24,Netherlands,"538,050","+5,606","9,565",+61,,,,507,"31,371",558,"4,043,482","235,756","17,151,150",Europe,32,"1,793",4
25,Czechia,"537,663","+4,621","8,641",+126,"468,302","+6,703","60,720",689,"50,167",806,"3,131,585","292,193","10,717,514",Europe,20,"1,240",3
26,Romania,"492,211","+7,661","11,876",+211,"381,001","+9,770","99,334","1,252","25,660",619,"4,170,013","217,390","19,182,177",Europe,39,"1,615",5
27,Bangladesh,"471,739","+2,336","6,748",+35,"388,379","+2,593","76,612",,"2,852",41,"2,820,981","17,057","165,388,942",Asia,351,"24,509",59
28,Philippines,"435,411","+1,059","8,446",+10,"399,197",+200,"27,768","1,401","3,951",77,"5,868,974","53,257","110,200,964",Asia,253,"13,048",19
29,Pakistan,"406,810","+3,499","8,205",+39,"346,951","+1,586","51,654","2,469","1,827",37,"5,627,539","25,269","222,704,447",Asia,547,"27,143",40
30,Canada,"396,270","+6,495","12,407",+82,"314,608","+4,722","69,255",530,"10,460",328,"11,739,689","309,890","37,883,401",North America,96,"3,053",3
