#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"19,179,349","+94,888","313,636","+1,400","17,376,466","+110,561","1,489,247","27,422",,,,,,Asia,,,
,North America,"19,539,923","+220,199","453,526","+2,073","11,840,987","+165,873","7,245,410","32,921",,,,,,North America,,,
,South America,"12,011,988","+45,866","341,129","+1,097","10,645,878","+50,056","1,024,981","16,538",,,,,,South America,,,
,Europe,"20,020,225","+159,854","461,910","+3,822","9,389,165","+118,023","10,169,150","26,964",,,,,,Europe,,,
,Africa,"2,404,560","+11,499","56,740",+312,"2,033,838","+10,006","313,982","2,624",,,,,,Africa,,,
,Oceania,"46,716",+141,"1,039",+5,"33,228",+12,"12,449",26,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"73,203,482","+532,447","1,627,995","+8,709","51,320,268","+454,531","20,255,219","106,495","9,391",208.9,,,,All,,,
1,China,"86,741",+16,"4,634",,"81,794",+9,313,7,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,593","310,601",9
2,USA,"16,943,904","+199,729","308,097","+1,627","9,873,124","+148,424","6,762,683","27,862","51,053",928,"223,185,206","672,464","331,891,557",North America,20,"1,077",1
3,India,"9,906,507","+21,791","143,746",+353,"9,421,832","+34,224","340,929","8,944","7,147",104,"154,566,990","111,504","1,386,197,276",Asia,140,"9,643",9
4,Brazil,"6,929,409","+27,419","181,945",+526,"6,016,085","+33,132","731,379","8,318","32,494",853,"25,700,000","120,515","213,250,674",South America,31,"1,172",8
5,Russia,"2,681,256","+27,328","47,391",+450,"2,124,797","+18,562","509,068","2,300","18,369",325,"83,102,948","569,342","145,963,245",Europe,54,"3,080",2
6,France,"2,379,915","+3,063","58,644",+492,"177,647",+652,"2,143,624","2,906","36,424",898,"29,186,274","446,684","65,339,853",Europe,27,"1,114",2
7,UK,"1,869,666","+20,263","64,402",+232,,,,"1,275","27,475",946,"48,209,087","708,442","68,049,406",Europe,36,"1,057",1
8,Turkey,"1,866,345","+29,617","16,646",+229,"1,631,944","+28,164","217,755","5,980","22,021",196,"21,284,005","251,130","84,752,976",Asia,45,"5,091",4
9,Italy,"1,855,732","+12,025","65,011",+491,"1,115,617","+22,456","675,104","3,095","30,713","1,076","24,319,310","402,498","60,420,872",Europe,33,929,2
10,Spain,"1,762,036","+7,967","48,013",+129,,,,"2,068","37,680","1,027","24,918,644","532,870","46,763,108",Europe,27,974,2
11,Argentina,"1,503,222","+5,062","41,041",+275,"1,340,120","+4,803","122,061","3,478","33,121",904,"4,302,194","94,793","45,385,180",South America,30,"1,106",11
12,Colombia,"1,434,516","+8,742","39,195",+142,"1,321,469","+6,633","73,852","2,376","28,056",767,"7,122,577","139,303","51,130,265",South America,36,"1,305",7
13,Germany,"1,357,141","+18,658","22,887",+481,"984,200","+16,300","350,054","4,670","16,174",273,"30,494,036","363,427","83,906,898",Europe,62,"3,666",3
14,Mexico,"1,250,044","+8,608","113,953",+249,"918,681","+6,716","217,410","3,550","9,649",880,"3,194,264","24,656","129,550,707",North America,104,"1,137",41
15,Poland,"1,140,539","+4,863","22,960",+96,"869,155","+10,260","248,424","1,807","30,151",607,"6,695,762","177,008","37,827,522",Europe,33,"1,648",6
16,Iran,"1,115,770","+7,501","52,447",+251,"823,231","+10,961","240,092","5,711","13,207",621,"6,750,359","79,903","84,482,404",Asia,76,"1,611",13
17,Peru,"986,130","+1,157","36,754",+77,"920,306","+1,954","29,070","1,053","29,720","1,108","5,273,241","158,925","33,180,757",South America,34,903,6
18,Ukraine,"900,666","+6,451","15,247",+93,"506,718","+5,154","378,701",177,"20,652",350,"5,052,686","115,855","43,612,312",Europe,48,"2,860",9
19,South Africa,"866,127","+5,163","23,451",+175,"762,746","+1,735","79,930",546,"14,520",393,"5,884,227","98,647","59,649,189",Africa,69,"2,544",10
20,Indonesia,"623,309","+5,489","18,956",+137,"510,957","+5,121","93,396",,"2,268",69,"6,424,385","23,375","274,842,971",Asia,441,"14,499",43
21,Netherlands,"621,944","+8,457","10,082",+34,,,,515,"36,260",588,"5,253,381","306,279","17,152,286",Europe,28,"1,701",3
22,Belgium,"608,137","+2,171","17,951",+49,"41,661",+72,"548,525",617,"52,368","1,546","6,336,972","545,691","11,612,751",Europe,19,647,2
23,Czechia,"581,082","+1,999","9,681",+89,"511,512",+194,"59,889",506,"54,215",903,"3,350,315","312,585","10,718,109",Europe,18,"1,107",3
24,Iraq,"575,972","+1,338","12,603",+24,"509,474","+2,028","53,895",197,"14,176",310,"3,933,815","96,821","40,629,866",Asia,71,"3,224",10
25,Chile,"573,830","+1,911","15,931",+45,"546,538","+1,716","11,361",628,"29,901",830,"5,822,181","303,378","19,191,179",South America,33,"1,205",3
26,Romania,"559,587","+3,252","13,494",+109,"460,780","+3,420","85,313","1,289","29,178",704,"4,436,130","231,309","19,178,341",Europe,34,"1,421",4
27,Bangladesh,"492,332","+1,799","7,089",+37,"423,845","+2,949","61,398",,"2,976",43,"2,986,458","18,052","165,438,217",Asia,336,"23,337",55
28,Canada,"468,862","+8,119","13,553",+122,"379,467","+6,214","75,842",596,"12,373",358,"12,634,757","333,430","37,893,336",North America,81,"2,796",3
29,Philippines,"450,704","+1,310","8,756",+23,"418,694",+12,"23,254",708,"4,088",79,"6,264,737","56,826","110,244,803",Asia,245,"12,591",18
30,Pakistan,"440,787","+2,362","8,832",+36,"384,719","+1,719","47,236","2,456","1,978",40,"6,064,220","27,214","222,833,568",Asia,506,"25,230",37
31,Morocco,"400,826","+1,217","6,659",+35,"359,065","+3,042","35,102","1,039","10,801",179,"4,204,412","113,296","37,109,906",Africa,93,"5,573",9
32,Switzerland,"384,557","+10,726","6,154",+169,"308,300","+16,800","70,103",465,"44,286",709,"3,095,612","356,491","8,683,573",Europe,23,"1,411",3
33,Saudi Arabia,"360,013",+125,"6,059",+11,"350,792",+243,"3,162",493,"10,268",173,"10,409,634","296,908","35,060,108",Asia,97,"5,786",3
34,Israel,"359,506","+2,330","3,004",+5,"338,418","+1,232","18,084",375,"39,087",327,"6,631,970","721,055","9,197,590",Asia,26,"3,062",1
35,Portugal,"350,938","+2,194","5,649",+90,"274,277","+2,955","71,012",513,"34,463",555,"4,939,014","485,026","10,182,998",Europe,29,"1,803",2
36,Sweden,"341,029","+2,956","7,647",+6,,,,253,"33,672",755,"3,718,476","367,145","10,128,096",Europe,30,"1,324",3
37,Austria,"325,051","+2,588","4,530",+57,"284,174","+3,068","36,347",594,"35,997",502,"3,425,072","379,302","9,029,935",Europe,28,"1,993",3
38,Hungary,"283,870","+3,470","7,130",+165,"82,546","+1,794","194,194",605,"29,420",739,"2,320,419","240,482","9,649,042",Europe,34,"1,353",4
39,Serbia,"271,364","+4,932","2,380",+49,"31,536",,"237,448",334,"31,116",273,"2,046,456","234,655","8,721,127",Europe,32,"3,664",4
40,Jordan,"262,477","+2,863","3,407",+42,"222,654","+4,187","36,416",324,"25,609",332,"2,850,723","278,137","10,249,364",Asia,39,"3,008",4
41,Nepal,"249,244",+821,"1,716",+18,"236,573",+842,"10,955",,"8,485",58,"1,836,464","62,519","29,374,299",Asia,118,"17,118",16
42,Ecuador,"202,180",+70,"13,875",,"177,951",,"10,354",358,"11,381",781,"691,163","38,906","17,764,770",South America,88,"1,280",26
43,Panama,"194,619","+1,612","3,382",+26,"163,334","+1,229","27,903",185,"44,785",778,"1,072,669","246,840","4,345,610",North America,22,"1,285",4
44,Georgia,"191,063","+1,337","1,839",+49,"161,681","+3,498","27,543",,"47,938",461,"1,686,522","423,150","3,985,638",Asia,21,"2,167",2
45,UAE,"186,041","+1,092",618,+1,"164,349",+670,"21,074",,"18,707",62,"18,517,811","1,862,052","9,944,841",Asia,53,"16,092",1
46,Bulgaria,"181,544","+2,095","5,838",+150,"85,578","+1,858","90,128",580,"26,219",843,"1,069,756","154,494","6,924,240",Europe,38,"1,186",6
47,Japan,"179,653","+2,366","2,585",+23,"150,947","+1,661","26,121",588,"1,422",20,"4,048,710","32,057","126,297,889",Asia,703,"48,858",31
48,Azerbaijan,"178,986","+3,112","1,966",+44,"114,841","+2,923","62,179",,"17,581",193,"1,963,348","192,846","10,180,920",Asia,57,"5,178",5
49,Croatia,"177,358","+1,472","2,705",+65,"151,884","+3,673","22,769",284,"43,326",661,"888,080","216,945","4,093,563",Europe,23,"1,513",5
50,Belarus,"162,148","+1,853","1,273",+10,"139,785","+1,321","21,090",,"17,162",135,"3,625,620","383,749","9,447,892",Europe,58,"7,422",3
51,Dominican Republic,"155,184",+492,"2,364",+3,"121,007",+526,"31,813",234,"14,240",217,"793,563","72,820","10,897,555",North America,70,"4,610",14
52,Costa Rica,"153,169",+549,"1,936",+15,"118,511","+1,756","32,722",232,"29,943",378,"440,279","86,070","5,115,363",North America,33,"2,642",12
53,Armenia,"148,682",+357,"2,503",+17,"125,966",+797,"20,213",,"50,132",844,"549,732","185,358","2,965,788",Asia,20,"1,185",5
54,Lebanon,"147,613","+1,093","1,210",+10,"103,057","+1,723","43,346",414,"21,672",178,"1,790,561","262,880","6,811,333",Asia,46,"5,629",4
55,Bolivia,"147,150",+120,"9,018",+4,"126,221",+129,"11,911",71,"12,528",768,"377,562","32,145","11,745,461",South America,80,"1,302",31
56,Kuwait,"146,449",+231,912,+1,"142,357",+263,"3,180",57,"34,064",212,"1,185,625","275,773","4,299,275",Asia,29,"4,714",4
57,Kazakhstan,"142,325",+747,"2,088",,"126,182",+802,"14,055",221,"7,539",111,"4,871,752","258,051","18,879,035",Asia,133,"9,042",4
58,Qatar,"141,121",+160,241,+1,"138,719",+229,"2,161",21,"50,260",86,"1,171,929","417,383","2,807,805",Asia,20,"11,651",2
59,Slovakia,"133,489",+505,"1,205",+30,"98,585","+1,517","33,699",282,"24,445",221,"1,218,962","223,218","5,460,858",Europe,41,"4,532",4
60,Guatemala,"129,405",+123,"4,445",+22,"118,217",+294,"6,743",5,"7,163",246,"581,933","32,212","18,065,685",North America,140,"4,064",31
61,Moldova,"127,253",+735,"2,598",+26,"110,179","+1,278","14,476",286,"31,579",645,"507,145","125,854","4,029,641",Europe,32,"1,551",8
62,Oman,"126,504",+264,"1,472",+1,"118,287",+239,"6,745",57,"24,492",285,"571,472","110,641","5,165,080",Asia,41,"3,509",9
63,Greece,"125,173",+639,"3,687",+62,"9,989",,"111,497",558,"12,036",355,"2,589,438","248,995","10,399,540",Europe,83,"2,821",4
64,Egypt,"122,086",+511,"6,943",+23,"105,132",+257,"10,011",90,"1,183",67,"1,000,000","9,689","103,208,404",Africa,845,"14,865",103
65,Ethiopia,"117,242",+473,"1,809",+3,"95,225","+1,335","20,208",297,"1,009",16,"1,711,099","14,720","116,246,058",Africa,992,"64,260",68
66,Honduras,"114,359",+316,"2,975",+1,"51,478",+68,"59,906",112,"11,463",298,"284,003","28,468","9,976,130",North America,87,"3,353",35
